Glass Type,Thickness (mm),Length (m),Width (m),Aspect Ratio,None-Factor Load (kPa),Deflection (mm),Glass Type Factor (ShortLoad),Glass Type Factor (LongLoad),Load Share Factor (LSF),Load Resistance (kPa),Load Duration Factor
Heat-Strengthened,5,3.51,1.28,2.74,2.93,60.34,2,1.3,0.37,15.84,0.43
Heat-Strengthened,4,4.17,1.37,3.04,2.77,207.38,2,1.3,0.885,6.26,1
Fully Tempered,10,4.62,4.4,1.05,0.67,1.36,4,3,0.778,3.44,0.55
Fully Tempered,5,3.6,2.11,1.71,2.09,28.89,4,3,0.358,23.35,1
Annealed,12,2.69,4.52,0.6,1.78,0.23,1,0.43,0.75,2.37,0.55
Annealed,4,1.82,1.16,1.57,0.69,2.21,1,0.43,0.617,1.12,0.93
Fully Tempered,4,4.19,3.89,1.08,2.8,67.73,4,3,0.765,14.64,0.93
Fully Tempered,19,3.01,2.55,1.18,1.54,0.14,4,3,0.721,8.54,0.31
Laminated,5,2.9,2.86,1.01,0.98,3.79,3.8,2.85,0.755,4.93,0.83
Annealed,8,4.35,4.51,0.96,2.24,6.79,1,0.43,0.383,5.85,0.31
Fully Tempered,6,2.22,2.31,0.96,2.79,2.65,4,3,0.432,25.83,0.93
Annealed,5,3.88,4.14,0.94,0.67,5.73,1,0.43,0.357,1.88,0.36
Annealed,8,1.13,3.46,0.33,1.29,0.02,1,0.43,0.889,1.45,0.72
Fully Tempered,5,1.41,2.5,0.56,1.71,0.42,4,3,0.385,17.77,0.64
Laminated,8,4.91,2.16,2.27,1.03,11.75,3.8,2.85,0.396,9.88,0.83
Fully Tempered,16,4.32,3.11,1.39,2.62,1.4,4,3,0.791,13.25,1
Heat-Strengthened,19,1.15,3.66,0.31,0.89,0,2,1.3,0.746,2.39,0.83
Laminated,16,4.21,1.35,3.12,2.4,2.96,3.8,2.85,0.765,11.92,1
Fully Tempered,10,2.62,3.67,0.71,1.98,0.5,4,3,0.89,8.9,0.43
Laminated,5,1.71,4.43,0.39,1.93,0.58,3.8,2.85,0.758,9.68,0.83
Annealed,16,1.5,3.42,0.44,2.7,0.02,1,0.43,0.765,3.53,0.36
Laminated,8,5,3.95,1.27,0.89,5.37,3.8,2.85,0.859,3.94,0.55
Annealed,19,3.64,3.12,1.17,0.95,0.15,1,0.43,0.759,1.25,0.83
Laminated,5,3.77,2.88,1.31,1.49,16.34,3.8,2.85,0.879,6.44,0.72
Laminated,19,1.83,2.2,0.83,2.35,0.03,3.8,2.85,0.899,9.93,0.93
Heat-Strengthened,8,3.12,1.58,1.97,1.79,4.55,2,1.3,0.312,11.47,0.93
