acceptable,case,design_load_kpa,duration,glass_all,governing_LR_kpa,lite1_construction,lite1_glass,lite1_nominal,lite2_construction,lite2_glass,lite2_nominal,lite3_nominal,long_m,short_m,support_family
False,single_monolithic,3.0,short,,1.5185729972279702,monolithic,AN,3,,,,,1.0,0.8,monolithic_four_sides
False,single_monolithic,3.0,short,,2.6544361278909894,monolithic,AN,4,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,4.076854574026091,monolithic,AN,5,,,,,1.0,0.8,monolithic_four_sides
False,single_monolithic,3.0,short,,2.728373161764712,monolithic,AN,6,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,10.192402026729622,monolithic,AN,8,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,15.0,monolithic,AN,10,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,15.0,monolithic,AN,12,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,15.0,monolithic,AN,16,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,15.0,monolithic,AN,19,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,3.0371459944559405,monolithic,HS,3,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,5.308872255781979,monolithic,HS,4,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,8.153709148052181,monolithic,HS,5,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,5.456746323529424,monolithic,HS,6,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,20.384804053459245,monolithic,HS,8,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,30.0,monolithic,HS,10,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,30.0,monolithic,HS,12,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,30.0,monolithic,HS,16,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,30.0,monolithic,HS,19,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,6.074291988911881,monolithic,FT,3,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,10.617744511563957,monolithic,FT,4,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,16.307418296104363,monolithic,FT,5,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,10.913492647058847,monolithic,FT,6,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,40.76960810691849,monolithic,FT,8,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,60.0,monolithic,FT,10,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,60.0,monolithic,FT,12,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,60.0,monolithic,FT,16,,,,,1.0,0.8,monolithic_four_sides
True,single_monolithic,3.0,short,,60.0,monolithic,FT,19,,,,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,4.911071691176481,monolithic,AN,6,monolithic,AN,6,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,8.29572920806838,monolithic,AN,6,monolithic,AN,8,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,12.923872871517055,monolithic,AN,6,monolithic,AN,10,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,8.29572920806838,monolithic,AN,8,monolithic,AN,6,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,18.34632364811332,monolithic,AN,8,monolithic,AN,8,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,21.02803738317757,monolithic,AN,8,monolithic,AN,10,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,12.923872871517055,monolithic,AN,10,monolithic,AN,6,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,21.02803738317757,monolithic,AN,10,monolithic,AN,8,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,27.0,monolithic,AN,10,monolithic,AN,10,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,5.456746323529424,monolithic,AN,6,monolithic,HS,6,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,9.217476897853757,monolithic,AN,6,monolithic,HS,8,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,14.359858746130062,monolithic,AN,6,monolithic,HS,10,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,14.477843787968215,monolithic,AN,8,monolithic,HS,6,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,20.384804053459245,monolithic,AN,8,monolithic,HS,8,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,28.470396722708443,monolithic,AN,8,monolithic,HS,10,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,18.51851851851852,monolithic,AN,10,monolithic,HS,6,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,23.36448598130841,monolithic,AN,10,monolithic,HS,8,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,30.0,monolithic,AN,10,monolithic,HS,10,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,5.456746323529424,monolithic,AN,6,monolithic,FT,6,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,9.217476897853757,monolithic,AN,6,monolithic,FT,8,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,14.359858746130062,monolithic,AN,6,monolithic,FT,10,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,14.477843787968215,monolithic,AN,8,monolithic,FT,6,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,20.384804053459245,monolithic,AN,8,monolithic,FT,8,,1.0,0.8,monolithic_four_sides
True,double_ig_momo,3.0,short,,28.470396722708443,monolithic,AN,8,monolithic,FT,10,,1.0,0.8,monolithic_four_sides
